"World-country-continental","contry","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"South Sudan","10637","","115",NA,"10312","","210","","941","10","155471","13752","11305506","Africa","1063","98309","73",NA,NA,"19"
"Benin","7884","","100",NA,"7652","","132","35","636","8","595112","48023","12392243","Africa","1572","123922","21",NA,NA,"11"
"Equatorial Guinea","7694","","112",NA,"7279","","303","7","5336","78","123169","85419","1441940","Africa","187","12874","12",NA,NA,"210"
"Nicaragua","6989","","183",NA,"4225","","2581","","1044","27","","","6691682","North America","957","36567",NA,NA,NA,"386"
"CAR","6674","","93",NA,"5112","","1469","2","1362","19","40907","8346","4901149","Africa","734","52701","120",NA,NA,"300"
"Iceland","6506","","29",NA,"6347","","130","5","18961","85","613017","1786529","343133","Europe","53","11832","1",NA,NA,"379"
"Yemen","6482","","1271",NA,"2992","","2219","23","213","42","33374","1098","30383405","Asia","4687","23905","910",NA,NA,"73"
"Seychelles","6373","","28",NA,"5277","","1068","","64460","283","21504","217504","98867","Africa","16","3531","5",NA,NA,"10802"
"Gambia","5929","","175",NA,"5598","","156","3","2396","71","76379","30871","2474151","Africa","417","14138","32",NA,NA,"63"
"Niger","5319","","192",NA,"4885","","242","2","213","8","101051","4051","24946242","Africa","4690","129928","247",NA,NA,"10"
"San Marino","5067","","90",NA,"4935","","42","4","149064","2648","61760","1816898","33992","Europe","7","378","1",NA,NA,"1236"
"Chad","4877","","171",NA,"4649","","57","","290","10","115505","6865","16824841","Africa","3450","98391","146",NA,NA,"3"
"Saint Lucia","4654","","75",NA,"4444","","135","1","25246","407","41723","226332","184344","North America","40","2458","4",NA,NA,"732"
"Gibraltar","4286","","94",NA,"4189","","3","","127249","2791","239597","7113503","33682","Europe","8","358","0",NA,NA,"89"
"Burundi","4177","","6",NA,"773","","3398","","343","0.5","279132","22898","12190433","Africa","2918","2031739","44",NA,NA,"279"
"Sierra Leone","4068","","79",NA,"3078","","911","","501","10","153257","18886","8114728","Africa","1995","102718","53",NA,NA,"112"
"Channel Islands","4056","","86",NA,"3956","","14","","23147","491","454413","2593252","175229","Europe","43","2038","0",NA,NA,"80"
"Barbados","3942","","45",NA,"3856","","41","","13703","156","158788","551968","287676","North America","73","6393","2",NA,NA,"143"
"Comoros","3854","","146",NA,"3682","","26","","4353","165","","","885325","Africa","230","6064",NA,NA,NA,"29"
"Eritrea","3742","","12",NA,"3602","","128","","1043","3","23693","6603","3588197","Africa","959","299016","151",NA,NA,"36"
"Guinea-Bissau","3741","","67",NA,"3400","","274","9","1864","33","64758","32259","2007449","Africa","537","29962","31",NA,NA,"136"
"Vietnam","3412","80","35",NA,"2602","","775","","35","0.4","2958119","30159","98085243","Asia","28747","2802436","33","0.8",NA,"8"
