"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"122","122","Rwanda","25486","","338","","23876","","1272","1","1928","26","1333441","100852","13221757","Africa","519","39118","10",NA,NA,"96"
"123","123","Gabon","23201","","140","","19740","","3321","22","10221","62","736002","324252","2269843","Africa","98","16213","3",NA,NA,"1463"
"124","124","Syria","23191","","1631","","17932","","3628","","1299","91","103566","5800","17857625","Asia","770","10949","172",NA,NA,"203"
"125","125","Guinea","22505","","148","","20078","","2279","24","1676","11","439345","32710","13431577","Africa","597","90754","31",NA,NA,"170"
"126","126","Réunion","21601","","150","","19848","","1603","36","23982","167","102720","114043","900710","Africa","42","6005","9",NA,NA,"1780"
"127","127","French Guiana","20226","","104","","9995","","10127","18","66276","341","223846","733493","305178","South America","15","2934","1",NA,NA,"33184"
"128","128","Mayotte","20134","","170","","2964","","17000","4","72335","611","174251","626032","278342","Africa","14","1637","2",NA,NA,"61076"
"129","129","French Polynesia","18776","","141","","18617","","18","2","66515","500","26355","93364","282281","Australia/Oceania","15","2002","11",NA,NA,"64"
"130","130","Mauritania","18576","","456","","17817","","303","14","3909","96","240124","50529","4752201","Africa","256","10421","20",NA,NA,"64"
"131","131","Eswatini","18473","","671","","17768","","34","3","15785","573","190646","162903","1170302","Africa","63","1744","6",NA,NA,"29"
"132","132","Cambodia","18179","558","114","","6884","41","11181","","1075","7","975806","57692","16914004","Asia","930","148368","17","33",NA,"661"
"133","133","Guadeloupe","15360","","210","","2242","","12908","18","38383","525","187796","469276","400182","North America","26","1906","2",NA,NA,"32255"
"134","134","Somalia","14368","","745","","6152","","7471","","883","46","117534","7226","16265021","Africa","1132","21832","138",NA,NA,"459"
"135","135","Mali","14029","","493","","8878","","4658","","676","24","259301","12503","20739748","Africa","1478","42068","80",NA,NA,"225"
"136","136","Guyana","13957","","310","","11787","","1860","16","17672","393","127708","161705","789761","South America","57","2548","6",NA,NA,"2355"
"137","137","Andorra","13390","27","127","","12936","36","327","12","173064","1641","193595","2502197","77370","Europe","6","609","0","349",NA,"4226"
"138","138","Burkina Faso","13353","","162","","13111","","80","","624","8","181252","8476","21383979","Africa","1601","132000","118",NA,NA,"4"
"139","139","Tajikistan","13308","","90","","13218","","0","","1369","9","","","9717644","Asia","730","107974","",NA,NA,""
"140","140","Haiti","13164","","263","","12154","","747","","1143","23","60085","5216","11519766","North America","875","43801","192",NA,NA,"65"
"141","141","Togo","13090","22","124","1","11508","123","1458","","1551","15","315112","37328","8441696","Africa","645","68078","27","3","0.1","173"
"142","142","Belize","12682","","323","","12273","","86","1","31414","800","120377","298182","403703","North America","32","1250","3",NA,NA,"213"
"143","143","Trinidad and Tobago","12396","","191","","8969","","3236","38","8833","136","138704","98840","1403322","North America","113","7347","10",NA,NA,"2306"
"144","144","Curaçao","12222","","113","","11907","","202","22","74225","686","98096","595745","164661","North America","13","1457","2",NA,NA,"1227"
"145","145","Hong Kong","11802","3","210","","11473","5","119","3","1564","28","13412611","1776893","7548352","Asia","640","35945","1","0.4",NA,"16"
"146","146","Papua New Guinea","11630","","121","","10312","","1197","","1279","13","95014","10453","9089618","Australia/Oceania","782","75121","96",NA,NA,"132"
