"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"66","Republic of Moldova","Europe",251820,6242.5,1682,41.7,316,5892,146.06,112,2.78,23,"Community transmission"
"67","Ireland","Europe",251087,5057.71,3230,65.06,415,4915,99,19,0.38,7,"Community transmission"
"68","Slovenia","Europe",243721,11628.68,5288,252.31,929,4579,218.48,22,1.05,1,"Clusters of cases"
"69","Egypt","Eastern Mediterranean",234015,228.68,7484,7.31,1110,13714,13.4,436,0.43,59,"Clusters of cases"
"70","Guatemala","Americas",232439,1297.41,6192,34.56,1150,7677,42.85,177,0.99,35,"Community transmission"
"71","Armenia","Europe",218325,7367.79,2797,94.39,425,4192,141.47,105,3.54,14,"Community transmission"
"72","Honduras","Americas",216964,2190.54,7474,75.46,1131,5439,54.91,216,2.18,53,"Community transmission"
"73","Uruguay","Americas",209867,6041.55,16840,484.78,2921,2918,84,421,12.12,57,"Community transmission"
"74","Qatar","Eastern Mediterranean",209470,7270.61,4494,155.98,593,493,17.11,43,1.49,4,"Community transmission"
"75","Venezuela (Bolivarian Republic of)","Americas",202758,713.03,7799,27.43,951,2226,7.83,127,0.45,18,"Community transmission"
"76","Bosnia and Herzegovina","Europe",199882,6092.45,2504,76.32,419,8736,266.28,272,8.29,23,"Community transmission"
"77","Oman","Eastern Mediterranean",199344,3903.63,6091,119.28,772,2083,40.79,73,1.43,12,"Community transmission"
"78","Bahrain","Eastern Mediterranean",184697,10854.47,8945,525.69,1367,670,39.38,31,1.82,6,"Community transmission"
"79","Libya","Eastern Mediterranean",179193,2607.85,2121,30.87,266,3059,44.52,36,0.52,1,"Community transmission"
"80","Nigeria","Africa",165273,80.18,280,0.14,40,2063,1,0,0,0,"Community transmission"
"81","Kenya","Africa",161393,300.15,3067,5.7,489,2825,5.25,137,0.25,20,"Community transmission"
"82","North Macedonia","Europe",153137,7350.41,1568,75.26,323,5016,240.76,244,11.71,24,"Clusters of cases"
"83","Myanmar","South-East Asia",142903,262.64,103,0.19,45,3210,5.9,1,0,1,"Clusters of cases"
"84","Puerto Rico","Americas",133846,4678.53,3175,110.98,141,2348,82.07,52,1.82,11,"Community transmission"
"85","Albania","Europe",131419,4566.65,560,19.46,92,2403,83.5,17,0.59,1,"Clusters of cases"
"86","Republic of Korea","Western Pacific",126044,245.85,4037,7.87,525,1860,3.63,32,0.06,9,"Clusters of cases"
"87","Estonia","Europe",124147,9341.55,2490,187.36,366,1187,89.32,39,2.93,4,"Clusters of cases"
"88","Algeria","Africa",123272,281.12,1692,3.86,273,3299,7.52,65,0.15,10,"Community transmission"
"89","Latvia","Europe",120736,6328.96,3637,190.65,358,2166,113.54,48,2.52,7,"Community transmission"
"90","Sri Lanka","South-East Asia",119424,557.71,12940,60.43,1895,745,3.48,84,0.39,25,"Clusters of cases"
"91","Norway","Europe",114434,2131.95,2749,51.21,484,767,14.29,14,0.26,10,"Clusters of cases"
"92","Cuba","Americas",112714,995.13,7053,62.27,1060,701,6.19,69,0.61,7,"Community transmission"
"93","Kosovo[1]","Europe",105821,5893.13,1147,63.88,153,2185,121.68,42,2.34,4,"Community transmission"
"94","China","Western Pacific",103759,7.05,164,0.01,28,4858,0.33,1,0,0,"Clusters of cases"
"95","Montenegro","Europe",97924,15591.45,539,85.82,0,1517,241.54,24,3.82,0,"Clusters of cases"
"96","Kyrgyzstan","Europe",97278,1491.04,2334,35.77,320,1640,25.14,42,0.64,3,"Clusters of cases"
"97","Uzbekistan","Europe",93176,278.39,2770,8.28,452,657,1.96,10,0.03,2,"Clusters of cases"
"98","Ghana","Africa",92828,298.74,315,1.01,88,783,2.52,4,0.01,3,"Community transmission"
"99","Zambia","Africa",91849,499.62,365,1.99,45,1255,6.83,6,0.03,1,"Community transmission"
"100","Finland","Europe",87798,1589.02,1393,25.21,269,918,16.61,7,0.13,2,"Community transmission"
"101","Thailand","South-East Asia",78855,112.97,13702,19.63,2044,363,0.52,160,0.23,27,"Clusters of cases"
"102","Cameroon","Africa",74733,281.52,8735,32.91,4126,1144,4.31,153,0.58,80,"Community transmission"
"103","Mozambique","Africa",70052,224.13,248,0.79,21,818,2.62,4,0.01,1,"Community transmission"
"104","El Salvador","Americas",69997,1079.17,799,12.32,0,2143,33.04,23,0.35,2,"Community transmission"
"105","Cyprus","Europe",67982,7655.59,3417,384.8,562,327,36.82,21,2.36,1,"Clusters of cases"
"106","Luxembourg","Europe",67850,10836.79,1024,163.55,208,800,127.77,8,1.28,0,"Community transmission"
"107","Afghanistan","Eastern Mediterranean",61455,157.87,1710,4.39,293,2673,6.87,48,0.12,9,"Community transmission"
"108","Singapore","Western Pacific",61286,1047.56,165,2.82,18,31,0.53,1,0.02,0,"Sporadic cases"
"109","Namibia","Africa",49323,1941.16,1146,45.1,120,667,26.25,29,1.14,4,"Community transmission"
"110","Botswana","Africa",47851,2034.8,1251,53.2,0,724,30.79,22,0.94,0,"Community transmission"
"111","Jamaica","Americas",46338,1564.86,924,31.2,144,798,26.95,28,0.95,4,"Community transmission"
"112","Côte d’Ivoire","Africa",46231,175.26,346,1.31,58,291,1.1,6,0.02,0,"Community transmission"
"113","Mongolia","Western Pacific",42464,1295.31,7841,239.18,940,142,4.33,40,1.22,12,"Clusters of cases"
"114","Uganda","Africa",42102,92.04,336,0.73,70,343,0.75,2,0,1,"Community transmission"
"115","Senegal","Africa",40544,242.14,295,1.76,52,1114,6.65,7,0.04,3,"Community transmission"
"116","Zimbabwe","Africa",38357,258.07,166,1.12,30,1574,10.59,9,0.06,0,"Community transmission"
"117","Madagascar","Africa",38116,137.65,1606,5.8,127,690,2.49,59,0.21,8,"Community transmission"
"118","Sudan","Eastern Mediterranean",34461,78.59,517,1.18,0,2365,5.39,16,0.04,0,"Clusters of cases"
"119","Malawi","Africa",34143,178.48,91,0.48,20,1151,6.02,4,0.02,2,"Community transmission"
"120","Maldives","South-East Asia",33368,6173.04,3998,739.63,703,77,14.24,4,0.74,3,"Clusters of cases"
"121","Malta","Europe",30411,5910.05,162,31.48,30,416,80.85,3,0.58,0,"Clusters of cases"
"122","Democratic Republic of the Congo","Africa",30130,33.64,362,0.4,59,770,0.86,7,0.01,0,"Community transmission"
"123","Australia","Western Pacific",29886,117.2,107,0.42,21,910,3.57,0,0,0,"Clusters of cases"
"124","Angola","Africa",27529,83.76,1361,4.14,245,618,1.88,27,0.08,9,"Community transmission"
"125","Rwanda","Africa",25421,196.27,533,4.12,70,338,2.61,6,0.05,1,"Community transmission"
"126","Cabo Verde","Africa",25159,4525.11,1978,355.76,417,229,41.19,16,2.88,1,"Community transmission"
"127","Gabon","Africa",23201,1042.4,633,28.44,0,140,6.29,2,0.09,0,"Community transmission"
"128","Syrian Arab Republic","Eastern Mediterranean",23191,132.52,560,3.2,70,1631,9.32,48,0.27,6,"Community transmission"
"129","Guinea","Africa",22468,171.08,381,2.9,100,148,1.13,7,0.05,2,"Community transmission"
"130","Réunion","Africa",21451,2395.92,1070,119.51,0,150,16.75,2,0.22,0,"Community transmission"
"131","French Guiana","Americas",20226,6771.75,962,322.08,148,104,34.82,4,1.34,0,"Community transmission"
"132","Mayotte","Africa",20134,7380.09,79,28.96,40,170,62.31,0,0,0,"Community transmission"
"133","French Polynesia","Western Pacific",18776,6684.04,21,7.48,1,141,50.19,0,0,0,"Sporadic cases"
"134","Mauritania","Africa",18542,398.78,196,4.22,39,456,9.81,1,0.02,1,"Community transmission"
"135","Eswatini","Africa",18467,1591.76,15,1.29,6,671,57.84,0,0,0,"Community transmission"
"136","Cambodia","Western Pacific",17621,105.4,4219,25.23,0,114,0.68,21,0.13,0,"Sporadic cases"
"137","Guadeloupe","Americas",14634,3657.37,864,215.93,0,228,56.98,17,4.25,0,"Community transmission"
"138","Somalia","Eastern Mediterranean",14368,90.4,453,2.85,0,745,4.69,32,0.2,0,"Community transmission"
"139","Mali","Africa",13998,69.12,218,1.08,29,493,2.43,16,0.08,1,"Community transmission"
"140","Guyana","Americas",13829,1758.18,866,110.1,173,308,39.16,15,1.91,2,"Community transmission"
"141","Tajikistan","Europe",13714,143.79,0,0,0,91,0.95,0,0,0,"Pending"
"142","Burkina Faso","Africa",13345,63.84,41,0.2,6,161,0.77,4,0.02,0,"Community transmission"
"143","Andorra","Europe",13340,17265.26,192,248.5,24,127,164.37,2,2.59,0,"Community transmission"
